"","V1","V2","V3"
"TCGA.29.1703","2","3","1"
"TCGA.29.1762","2","3","4"
"TCGA.29.1783","1","1","3"
"TCGA.09.1670","2","2","1"
"TCGA.20.1685","2","2","1"
"TCGA.29.1695","1","1","2"
"TCGA.29.1705","1","1","3"
"TCGA.29.1763","2","3","4"
"TCGA.29.1784","1","2","2"
"TCGA.20.1686","2","3","4"
"TCGA.29.1696","2","2","1"
"TCGA.29.1707","1","2","2"
"TCGA.29.1764","1","1","3"
"TCGA.29.1785","1","2","2"
"TCGA.09.1673","2","3","4"
"TCGA.20.1687","1","1","1"
"TCGA.29.1697","2","3","4"
"TCGA.29.1710","1","1","2"
"TCGA.29.1766","1","1","3"
"TCGA.23.1809","2","3","4"
"TCGA.09.1674","2","3","4"
"TCGA.29.1688","1","2","2"
"TCGA.29.1698","1","1","3"
"TCGA.29.1711","1","1","2"
"TCGA.29.1768","1","1","3"
"TCGA.24.1847","1","2","2"
"TCGA.09.1675","2","2","1"
"TCGA.29.1690","1","1","3"
"TCGA.29.1699","1","2","2"
"TCGA.30.1714","2","3","4"
"TCGA.29.1770","1","1","3"
"TCGA.04.1638","2","3","1"
"TCGA.30.1856","1","2","2"
"TCGA.61.1738","1","2","2"
"TCGA.29.1778","2","2","1"
"TCGA.24.1849","1","1","3"
"TCGA.61.1906","1","2","1"
"TCGA.04.1646","2","3","4"
"TCGA.30.1857","1","1","3"
"TCGA.61.1740","1","2","2"
"TCGA.23.1029","2","2","1"
"TCGA.24.1850","2","1","4"
"TCGA.61.1907","1","2","2"
"TCGA.04.1648","2","2","1"
"TCGA.61.1722","1","1","2"
"TCGA.61.1741","2","3","4"
"TCGA.23.1111","2","3","1"
"TCGA.61.1895","1","1","2"
"TCGA.61.1910","2","2","1"
"TCGA.04.1649","2","2","1"
"TCGA.61.1725","1","1","2"
"TCGA.29.1769","1","1","2"
"TCGA.24.1842","1","2","2"
"TCGA.61.1899","2","2","1"
"TCGA.61.1911","1","2","2"
"TCGA.04.1651","2","2","1"
"TCGA.61.1727","1","2","2"
"TCGA.29.1774","2","3","4"
"TCGA.24.1843","1","2","2"
"TCGA.61.1900","2","3","4"
"TCGA.61.1913","1","2","2"
"TCGA.04.1652","2","3","1"
"TCGA.61.1730","2","3","4"
"TCGA.29.1775","2","3","4"
"TCGA.24.1844","2","3","4"
"TCGA.61.1901","1","2","1"
"TCGA.61.1914","1","2","2"
"TCGA.61.1733","2","3","3"
"TCGA.29.1776","1","1","1"
"TCGA.24.1845","2","2","1"
"TCGA.61.1903","1","2","2"
"TCGA.61.1915","1","2","1"
"TCGA.30.1855","1","1","3"
"TCGA.61.1737","1","1","3"
"TCGA.29.1777","1","1","2"
"TCGA.24.1846","1","2","2"
"TCGA.61.1904","1","2","1"
"TCGA.13.0807","1","1","3"
"TCGA.13.0891","2","2","1"
"TCGA.13.0912","2","3","1"
"TCGA.13.0923","2","2","1"
"TCGA.10.0934","2","2","1"
"TCGA.13.0883","2","3","1"
"TCGA.13.0897","1","1","2"
"TCGA.13.0913","2","3","4"
"TCGA.13.0924","1","1","2"
"TCGA.10.0935","2","3","4"
"TCGA.13.0885","1","2","2"
"TCGA.13.0899","2","3","4"
"TCGA.10.0926","2","3","4"
"TCGA.10.0936","2","2","1"
"TCGA.13.0886","1","1","3"
"TCGA.13.0916","2","2","4"
"TCGA.10.0927","2","3","4"
"TCGA.10.0937","1","2","1"
"TCGA.13.0887","2","2","1"
"TCGA.13.0904","2","2","1"
"TCGA.13.0919","1","1","3"
"TCGA.10.0928","2","3","4"
"TCGA.10.0938","2","3","4"
"TCGA.13.0888","2","3","4"
"TCGA.13.0906","2","3","4"
"TCGA.13.0920","2","3","4"
"TCGA.10.0930","1","1","3"
"TCGA.24.0966","2","2","1"
"TCGA.13.0910","2","3","4"
"TCGA.13.0921","2","2","1"
"TCGA.10.0931","2","2","1"
"TCGA.13.0890","1","1","3"
"TCGA.13.0911","1","1","2"
"TCGA.10.0933","2","3","4"
"TCGA.24.0980","1","2","1"
"TCGA.13.0903","1","2","1"
"TCGA.24.1416","2","2","1"
"TCGA.24.1427","1","1","3"
"TCGA.24.1464","2","2","1"
"TCGA.13.1484","1","2","2"
"TCGA.13.1495","2","3","1"
"TCGA.13.1505","2","1","3"
"TCGA.24.1417","1","1","2"
"TCGA.24.1428","1","2","2"
"TCGA.24.1466","2","2","1"
"TCGA.13.1485","1","1","3"
"TCGA.13.1496","1","2","2"
"TCGA.13.1506","2","2","4"
"TCGA.24.1418","1","1","3"
"TCGA.24.1430","2","3","4"
"TCGA.24.1467","2","2","1"
"TCGA.13.1497","1","2","2"
"TCGA.13.1507","1","1","2"
"TCGA.24.1419","2","3","4"
"TCGA.24.1431","1","2","1"
"TCGA.13.1477","2","3","3"
"TCGA.13.1488","1","2","2"
"TCGA.13.1498","1","2","1"
"TCGA.13.1509","1","1","3"
"TCGA.24.1422","1","1","3"
"TCGA.24.1434","1","1","3"
"TCGA.13.1489","2","3","4"
"TCGA.13.1499","1","1","3"
"TCGA.13.1510","2","2","1"
"TCGA.24.1423","2","2","1"
"TCGA.24.1435","1","1","2"
"TCGA.13.1481","1","1","3"
"TCGA.13.1491","2","3","4"
"TCGA.13.1500","1","2","1"
"TCGA.13.1511","1","1","1"
"TCGA.24.1424","2","3","4"
"TCGA.24.1436","1","2","1"
"TCGA.13.1482","2","3","1"
"TCGA.13.1492","2","3","4"
"TCGA.13.1501","2","3","3"
"TCGA.13.1512","1","1","2"
"TCGA.24.1426","2","3","4"
"TCGA.24.1463","1","1","3"
"TCGA.13.1483","1","1","3"
"TCGA.13.1494","1","1","3"
"TCGA.13.1504","1","1","3"
"TCGA.29.1692","1","1","2"
"TCGA.13.1817","1","2","2"
"TCGA.61.1916","2","2","1"
